City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Apache Junction,"38,506",107,0,1,15,91,921,251,597,73,9
Avondale,"81,605",233,2,32,78,121,"3,262",558,"2,459",245,8
Buckeye,"64,563",35,2,2,15,16,"1,025",115,839,71,2
Bullhead City,"39,426",99,0,10,16,73,"1,405",308,999,98,2
Camp Verde,"11,213",30,1,0,4,25,351,90,235,26,2
Casa Grande,"51,995",284,1,23,38,222,"1,744",346,"1,329",69,12
Chandler,"265,922",558,4,124,157,273,"6,152",864,"4,895",393,21
Chino Valley,"11,202",74,0,0,2,72,249,55,177,17,0
Clarkdale,"4,271",11,0,0,1,10,58,13,42,3,1
Coolidge,"12,387",38,2,3,7,26,597,145,404,48,11
Cottonwood,"11,932",43,0,1,1,41,496,66,404,26,3
Douglas,"16,398",30,0,1,4,25,462,70,377,15,3
Eagar,"4,863",6,0,0,0,6,51,17,32,2,3
El Mirage,"34,376",74,1,7,16,50,"1,052",284,667,101,9
Eloy,"17,110",62,0,3,6,53,460,117,307,36,10
Flagstaff,"71,179",265,0,26,30,209,"2,856",255,"2,542",59,24
Florence,"31,130",22,0,0,0,22,151,36,108,7,0
Fredonia,"1,320",3,0,0,0,3,20,6,13,1,
Gilbert,"255,899",200,3,39,37,121,"3,368",564,"2,678",126,31
Glendale,"242,938","1,204",23,107,476,598,"12,805","1,981","9,690","1,134",
Goodyear,"82,018",310,0,18,28,264,"2,063",359,"1,561",143,0
Holbrook,"5,012",44,0,1,1,42,202,42,145,15,1
Jerome,458,0,0,0,0,0,15,5,10,0,0
Kearny,"2,055",1,0,0,0,1,27,11,16,0,0
Kingman,"29,069",101,3,7,21,70,"1,480",262,"1,152",66,10
Lake Havasu City,"53,746",141,2,31,6,102,"1,218",263,849,106,25
Marana,"42,808",40,1,8,13,18,"1,045",66,947,32,2
Maricopa,"49,627",97,3,10,6,78,648,87,517,44,0
Mesa,"478,277","2,051",19,272,450,"1,310","11,214","1,950","8,404",860,30
Miami,"1,776",14,0,0,0,14,101,65,30,6,2
Nogales,"20,143",62,0,0,2,60,502,80,304,118,0
Oro Valley,"44,089",29,0,4,7,18,653,70,555,28,1
Page,"7,516",86,0,13,7,66,500,59,421,20,5
Paradise Valley,"14,155",9,0,5,1,3,232,57,168,7,0
Patagonia,886,1,0,0,0,1,5,1,0,4,0
Payson,"15,351",55,0,5,5,45,379,85,265,29,0
Peoria,"174,797",350,2,37,85,226,"3,709",645,"2,804",260,12
Phoenix,"1,586,611","10,700",146,"1,019","3,272","6,263","58,552","13,024","37,568","7,960",216
Pima,"2,554",0,0,0,0,0,39,7,29,3,0
Pinetop-Lakeside,"4,354",46,0,0,1,45,172,38,131,3,0
Prescott,"42,321",170,0,10,18,142,924,175,720,29,5
Prescott Valley,"42,900",78,1,13,14,50,994,126,836,32,1
Safford,"9,717",34,0,0,0,34,386,43,313,30,1
Sahuarita,"25,792",23,0,3,1,19,375,42,320,13,3
San Luis,"32,227",39,1,1,1,36,427,79,294,54,0
Scottsdale,"240,885",369,4,90,112,163,"5,698",768,"4,681",249,13
Show Low,"10,892",2,1,0,0,1,439,33,396,10,4
Sierra Vista,"42,988",85,3,15,18,49,"1,278",249,974,55,6
Snowflake-Taylor,"9,835",29,0,0,0,29,169,43,116,10,6
Somerton,"15,196",26,0,0,0,26,180,47,95,38,0
Springerville,"1,952",3,0,1,0,2,39,11,26,2,1
Surprise,"130,679",135,6,12,38,79,"2,489",353,"1,980",156,5
