zip_code,zipcode_type,radius_in_miles,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income
80006,PO Box,,,,,,,,
15021,Standard,9,80,91.52,0.03,3294,3018,112600,51824
20158,Standard,4,295,14.55,0.09,1588,1520,490000,120991
15024,Standard,4,540,16.73,0.23,3924,3691,118200,53686
50034,Standard,10,8,62.5,0.62,251,192,85000,48438
50047,Standard,8,96,58.13,0.62,2208,2114,144800,59663
15001,Standard,7,532,60.05,1.33,14820,13404,111200,51424
80016,Standard,6,877,47,1.21,15602,14607,372400,101280
85032,Standard,3,5272,12.42,0.01,29594,25991,156100,48461
15057,Standard,8,255,54.67,0.08,5614,5268,172000,69042
50033,Standard,0.227272727,395,0.11,0,20,20,80800,76042
80003,Standard,3,5193,6.81,0.26,14248,13672,206900,54688
15035,Standard,0.681818182,5131,0.41,0,1155,1007,70500,40104
85023,Standard,2,4279,7.31,0.01,13690,12451,153500,47200
15020,PO Box,0.511363636,175,1.32,0.46,121,106,24700,27250
20135,Standard,6,64,44.56,0.64,1349,1157,363100,90083
20101,Unique,,,,,,,,
15056,Standard,2,1239,0.92,0.18,589,528,78600,38889
80101,Standard,20,2,234.84,0,193,161,227900,46719
50038,Standard,1,67,3.05,0.37,111,99,113100,47031
85040,Standard,3,2885,10.17,0.03,10446,8666,88700,30841
80110,Standard,3,3298,6.33,0.16,9483,8776,186700,41793
85020,Standard,3,3695,8.89,0.03,17709,15114,167400,46037
20141,Standard,7,225,27.23,0.29,2116,1987,402400,124180
20111,Standard,5,1879,16.28,0.42,10074,9490,280200,85829
80021,Standard,4,1822,16.49,2.34,13183,12482,231900,71221
80030,Standard,1,5814,2.64,0.08,6381,5983,163600,39494
50054,Standard,8,57,58.42,0.61,1428,1322,94800,46802
80013,Standard,3,4975,13.99,0,26047,24791,192800,67857
85028,Standard,3,1911,10.02,0,8705,8143,284800,85058
85064,PO Box,,,,,,,,
80015,Standard,4,4367,14.3,0.23,21996,21240,241500,80599
20143,Standard,3,158,7.72,0.08,408,397,647900,139938
50036,Standard,13,84,194.01,1,7459,6804,118300,49792
15053,Standard,1,1753,0.09,0,70,65,86000,32857
85067,PO Box,,,,,,,,
85031,Standard,1,7520,4.05,0.01,8716,7612,67200,26187
85079,PO Box,,,,,,,,
20132,Standard,13,192,82.91,0.74,5466,5154,470800,129180
15009,Standard,6,615,24.54,1.4,6839,6342,155400,54833
80024,PO Box,13,5577,0.04,0,85,76,140300,41531
20165,Standard,4,3301,9.81,0.24,11774,11455,440900,129827
